ux,uy,uz,p
0.2694411,0.0008766273,-0.005797206,-0.0098009
0.310663,-0.0003093499,-0.008136293,-0.01014899
0.3063764,-0.0002822326,-0.006853497,-0.01012846
0.3011864,-0.0001613043,-0.005575724,-0.01010703
0.2958198,3.415785E-05,-0.004475353,-0.0100838
0.2909031,0.0002842361,-0.003706865,-0.01005757
0.2869064,0.0005629756,-0.003389931,-0.01002657
0.2842077,0.0008257439,-0.003577572,-0.009988103
0.2831375,0.001012439,-0.004221926,-0.009939134
0.2839102,0.001069843,-0.005168128,-0.009877444
0.2864896,0.0009746783,-0.006188753,-0.009802156
0.3308844,-0.000338062,-0.008837008,-0.01015016
0.3264097,-0.000307121,-0.007502375,-0.01012952
0.3208759,-0.0001740578,-0.006169201,-0.01010802
0.3150461,3.972932E-05,-0.005012532,-0.0100847
0.3095983,0.0003130326,-0.004190271,-0.01005842
0.3050678,0.0006184895,-0.003828399,-0.01002744
0.3019096,0.0009078603,-0.003987493,-0.009989068
0.3005295,0.001115108,-0.004624092,-0.009940224
0.3011947,0.001181196,-0.005581286,-0.009878671
0.3038847,0.001079952,-0.006623397,-0.009803553
0.3516384,-0.0003672279,-0.009566437,-0.01015134
0.3469841,-0.0003319432,-0.008184896,-0.0101306
0.3411025,-0.0001861303,-0.006802814,-0.01010902
0.3347928,4.652805E-05,-0.005596129,-0.01008561
0.3287852,0.0003436983,-0.004724538,-0.01005928
0.323683,0.0006769028,-0.00431973,-0.01002835
0.3200249,0.0009943501,-0.004450309,-0.009990098
0.3183005,0.001223753,-0.005078118,-0.009941412
0.3188369,0.001299764,-0.006044835,-0.009880021
0.3216331,0.001192935,-0.007106597,-0.009805094
0.3729185,-0.0003966247,-0.01031768,-0.01015253
0.3680926,-0.0003563543,-0.008895429,-0.01013167
0.3618598,-0.0001971466,-0.007472924,-0.01011
0.3550555,5.484878E-05,-0.006224839,-0.01008651
0.348462,0.0003763994,-0.005310601,-0.01006014
0.342753,0.0007382993,-0.004866715,-0.01002927
0.3385566,0.001085321,-0.00497018,-0.009991182
0.336455,0.001338603,-0.005589046,-0.009942691
0.3368426,0.001425935,-0.006564236,-0.009881494
0.3397423,0.001314145,-0.007643771,-0.009806779
0.3947133,-0.0004259919,-0.01108161,-0.01015371
0.3897222,-0.0003799305,-0.009626264,-0.01013271
0.3831347,-0.0002066336,-0.008174083,-0.01011095
0.3758233,6.507539E-05,-0.006895902,-0.01008738
0.3686219,0.0004113626,-0.005948328,-0.01006098
0.3622746,0.0008027949,-0.005471434,-0.0100302
0.357505,0.001180897,-0.005550833,-0.009992307
0.3549958,0.001459904,-0.006161677,-0.009944051
0.3552171,0.001560123,-0.007144807,-0.009883084
0.3582197,0.00144414,-0.008240203,-0.009808614
0.4170047,-0.0004550285,-0.0118467,-0.01015487
0.4118526,-0.0004021545,-0.01036741,-0.01013373
0.4049068,-0.0002139952,-0.008898803,-0.01011187
0.3970783,7.770836E-05,-0.007604865,-0.0100882
0.3892511,0.0004488998,-0.006636286,-0.01006178
0.3822396,0.0008705545,-0.006135039,-0.01003111
0.3768663,0.00128123,-0.006195375,-0.009993456
0.3739235,0.001587923,-0.006800403,-0.009945481
0.3739649,0.001702773,-0.007791573,-0.009884789
0.3770736,0.001583511,-0.008900915,-0.009810599
0.4397681,-0.0004833906,-0.01259895,-0.010156
0.4344555,-0.0004223998,-0.01110648,-0.01013468
0.4271467,-0.0002184849,-0.009637364,-0.01011272
0.4187938,9.339798E-05,-0.008345342,-0.01008896
0.4103286,0.0004894388,-0.007371482,-0.01006252
0.4026333,0.0009418165,-0.006857501,-0.01003199
0.3966325,0.001386512,-0.006906061,-0.009994607
0.393236,0.001722962,-0.007509007,-0.009946967
0.3930892,0.001854364,-0.008509087,-0.009886601
0.3963121,0.001732892,-0.009630503,-0.009812738
0.4629709,-0.0005106923,-0.01332194,-0.01015708
0.4574937,-0.0004399161,-0.0118286,-0.01013557
0.4498156,-0.0002191758,-0.01037767,-0.01011349
0.4409334,0.0001129831,-0.009108791,-0.01008963
0.4318245,0.0005335613,-0.0081491,-0.01006317
0.4234341,0.001016923,-0.007637342,-0.01003279
0.4167903,0.001497002,-0.00768403,-0.009995738
0.4129277,0.001865364,-0.008290406,-0.009948491
0.4125917,0.002015418,-0.009301196,-0.009888513
0.4159433,0.001892959,-0.01043292,-0.009815033
0.4865723,-0.0005365109,-0.013997,-0.01015808
0.4809207,-0.0004538181,-0.01251656,-0.01013636
0.4728643,-0.0002149297,-0.01110519,-0.01011414
0.4634508,0.0001375347,-0.009884333,-0.01009018
0.4536995,0.0005820486,-0.008962236,-0.0100637
0.4446125,0.001096358,-0.008471323,-0.01003351
0.4373203,0.001613047,-0.008528993,-0.00999682
0.4329892,0.002015535,-0.009146358,-0.009950033
0.4324722,0.0021865,-0.01017075,-0.009890517
0.4359751,0.002064425,-0.01131123,-0.009817488
0.510523,-0.000560399,-0.01460369,-0.01015899
0.5046802,-0.0004630807,-0.01315104,-0.01013703
0.4962332,-0.0002043686,-0.01180303,-0.01011466
0.4862885,0.0001684033,-0.01065864,-0.01009058
0.4759041,0.0006359337,-0.009801649,-0.01006408
0.4661299,0.001180793,-0.009354133,-0.01003409
0.4581964,0.001735118,-0.009438888,-0.009997822
0.4534063,0.002173953,-0.0100771,-0.009951571
0.4527279,0.002368225,-0.01111927,-0.009892601
0.4564144,0.002248034,-0.01226722,-0.009820104
0.5347646,-0.0005819074,-0.01512048,-0.01015977
0.5287064,-0.0004665467,-0.01371116,-0.01013755
0.5198522,-0.0001858547,-0.01245221,-0.01011501
0.5093783,0.0002072643,-0.0114159,-0.01009079
0.4983782,0.0006965591,-0.01065555,-0.01006428
0.4879387,0.00127114,-0.01027805,-0.0100345
